crit,folder,typ,m,n,N,seed,bos_lb,t0,bnb_lb,oa_lb
AGC,baseline,independent,80,26,40,3,-4.127288195560367,19.0,-3.672487,-5.415927
AGC,baseline,independent,80,26,40,4,-4.505895063172796,23.0,-3.626641,-5.130669
AGC,baseline,independent,80,26,40,5,-4.045703588492869,42.0,-3.435063,-4.592331
AGC,baseline,independent,100,33,50,1,-1.8811382512339225,1241.0,-1.800317,-3.42227
AGC,baseline,independent,100,33,50,2,-3.5012126305889755,26.0,-3.121416,-4.810267
AGC,baseline,independent,100,33,50,3,-3.7140736283043494,24.0,-3.226373,-4.764603
AGC,baseline,independent,100,33,50,4,-4.095792473042138,41.0,-3.33904,-4.409177
AGC,baseline,independent,100,33,50,5,-3.2226205147458082,29.0,-3.018275,-3.407498
AGC,baseline,independent,150,50,75,1,-3.16182959214965,14723.0,-2.721084,-4.17124
AGC,baseline,independent,150,50,75,2,-3.6651926332793625,263.0,-2.891603,-4.628157
AGC,baseline,independent,150,50,75,3,-3.47278757250595,316.0,-2.953573,-4.341761
AGC,baseline,independent,150,50,75,4,-3.4308832775085016,122.0,-2.801531,-4.101799
AGC,baseline,independent,150,50,75,5,-2.6233234668967267,234.0,-2.390069,-4.051568
AGC,baseline,independent,200,66,100,1,-3.2789040086985652,1463.0,-2.489971,-3.70656
AGC,baseline,independent,200,66,100,2,-2.865465691294138,61.0,-2.399633,-3.878213
AGC,baseline,independent,200,66,100,3,-2.8732264130456997,85.0,-2.364929,-3.869374
AGC,baseline,independent,200,66,100,4,-2.671378253911789,84.0,-2.378445,-4.669494
AGC,baseline,independent,200,66,100,5,-3.485168354517679,62.0,-2.731979,-4.17445
AGC,optimized,correlated,80,26,40,1,-13.336906366031705,820.0,-12.66485,-14.12734
AGC,optimized,correlated,80,26,40,2,-12.636676129074274,3702.0,-12.12781,-14.98262
AGC,optimized,correlated,80,26,40,3,-13.433981365699573,3856.0,-12.75118,-14.11073
AGC,optimized,correlated,80,26,40,4,-13.132669052854743,1424.0,-12.34061,-13.72084
AGC,optimized,correlated,80,26,40,5,-13.514405585845514,1697.0,-12.86701,-14.76
AGC,optimized,correlated,100,33,50,1,-11.790643520493006,1124.0,-11.27942,-12.25808
AGC,optimized,correlated,100,33,50,2,-11.2718943405727,1834.0,-10.97813,-12.56986
